Case,Platform,Publisher,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,VideoURL,Animation,Filters,Decorum_Z,Language_Z
44.0,YouTube Shorts,Tampa Bay Times,8/12/23,62,2,215.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,3.0,,4.0,3.0,0.0,Legacy,Tampa Bay family competes for $1 million ‘American Ninja Warrior’ prize,1,0,0.5,
45.0,YouTube Shorts,Tampa Bay Times,8/21/23,27,2,215.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,,2.0,7.0,2.0,0.0,Legacy,Why Florida scientists have a hint of hope amid the coral bleaching crisis,0,0,,0.25
46.0,YouTube Shorts,Tampa Bay Times,8/28/23,172,8,215.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,4.0,2.0,7.0,3.0,0.0,Legacy,Tampa Bay prepares for Tropical Storm Idalia ,1,0,0.75,0.25
47.0,YouTube Shorts,Tampa Bay Times,8/29/23,104,4,215.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,,2.0,7.0,3.0,1.0,Legacy,What does a king tide in Tampa Bay mean for Idalia’s storm surge?,1,0,,0.25
48.0,YouTube Shorts,Tampa Bay Times,1/6/24,14,4,215.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,,2.0,4.0,3.0,1.0,Legacy,Tarpon Springs Epiphany cross is retrieved under blue skies,1,0,,0.25
49.0,YouTube Shorts,Tampa Bay Times,1/6/24,20,1,215.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,0.0,Legacy,"The cross goes to John Hittos, 16, at Epiphany dive in Tarpon Springs",1,0,0.25,0.5
50.0,Instagram Reels,Tampa Bay Times,11/3/23,1024,16,215.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,0.0,Legacy,"A large, colorful tent is set up in the parking lot of St. Petersburg’s…",1,0,0.25,0.5
51.0,Instagram Reels,Tampa Bay Times,11/6/23,689,22,215.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,0.0,Legacy,Tampa International Airport is aiming to make electric air taxis a possibility.⁠..,1,0,0.25,0.5
52.0,Instagram Reels,Tampa Bay Times,11/12/23,1069,11,215.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,0.0,Legacy,"Lying in bed at Tampa General Hospital, Gavin Benyon’s left arm…",1,0,0.25,0.5
53.0,Instagram Reels,Tampa Bay Times,11/18/23,244,8,215.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,0.0,Legacy,"Meet War Feather, a retired racehorse born in Florida horse country.⁠..",1,0,0.25,0.5
