,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYGENERICFRAMESSECONDARY,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETGENERICFRAMESSECONDARY,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
129,102.0,2.0,2020,2020-10-21,https://www.foxnews.com/media/trump-threatens-to-release-lesley-stahl-interview-ahead-of-sundays-60-minutes-airing-fake-and-biased,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,yes,no,attack,illustration,amplifies the tweet,Not Selected,0.0,fox2020
130,103.0,2.0,2020,2020-10-15,https://www.foxnews.com/politics/c-span-suspends-steve-scully-indefinitely-after-he-admits-he-lied-about-his-twitter-being-hacked,fox,soft news,media,conflict,morality,negative,no,yes,no,no,no,yes,no,no,yes,yes,1.0,1.0,trump,embedded_cited,conflict,,negative,no,yes,media,illustration,amplifies the tweet,Not Selected,2.0,fox2020
131,104.0,2.0,2020,2020-10-21,https://www.foxnews.com/politics/lesley-stahl-trump-interview-mark-meadows,fox,editorial,media,conflict,,negative,no,yes,no,no,no,no,yes,no,yes,no,1.0,0.0,trump,embedded_cited,conflict,,negative,no,no,media,illustration,amplifies the tweet,Not Selected,2.0,fox2020
132,105.0,2.0,2020,2020-10-21,https://www.foxnews.com/politics/meadows-trump-tweets-declassify-russia-probe-documents,fox,soft news,policy issue,conflict,,negative,no,yes,yes,no,yes,no,yes,no,no,no,1.0,0.0,trump,embedded_cited,conflict,,negative,yes,yes,policy issue,illustration,amplifies the tweet,Not Selected,2.0,fox2020
133,106.0,2.0,2020,2020-10-20,https://www.foxnews.com/politics/nj-attorney-general-is-suiing-the-trump-administration-over-a-tweet,fox,soft news,policy issue,conflict,,negative,no,no,no,no,no,no,yes,no,no,yes,2.0,2.0,trump,embedded_cited,conflict,,negative,no,no,policy issue,trigger,amplifies the tweet,Not Selected,2.0,fox2020
134,106.0,2.0,2020,2020-10-20,https://www.foxnews.com/politics/nj-attorney-general-is-suiing-the-trump-administration-over-a-tweet,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,no,policy issue,trigger,amplifies the tweet,Not Selected,0.0,fox2020
135,107.0,2.0,2020,2020-10-14,https://www.foxnews.com/politics/pro-trump-super-pac-launching-ads-targeting-biden-over-antifa,fox,soft news,other,conflict,,negative,no,yes,no,no,no,yes,no,no,no,yes,1.0,0.0,harris,cited_linked,morality,,positive,no,no,other,illustration,neutral,Not Selected,1.0,fox2020
136,108.0,2.0,2020,2020-10-14,https://www.foxnews.com/politics/republican-twitter-facebook-blackout-hunter-biden,fox,soft news,media,conflict,,negative,no,yes,no,no,no,no,yes,no,no,yes,1.0,0.0,trump,embedded_cited,conflict,,negative,no,yes,media,illustration,amplifies the tweet,Not Selected,2.0,fox2020
137,109.0,2.0,2020,2020-10-21,https://www.foxnews.com/politics/trump-60-minutes-interview-pictures-abrupt-end,fox,soft news,media,conflict,,negative,no,no,no,no,no,no,yes,no,yes,yes,1.0,0.0,trump,embedded_cited,conflict,,negative,no,yes,media,trigger,amplifies the tweet,Not Selected,3.0,fox2020
138,110.0,2.0,2020,2020-10-13,https://www.foxnews.com/politics/trump-biden-dementia-getting-worse-campaign-gaffes,fox,soft news,attack,conflict,,negative,no,no,no,yes,no,yes,no,no,no,yes,1.0,1.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,1.0,fox2020
