Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Filters,Decorum_Z,Language_Z
67.0,YouTube Shorts,CNN,Hall of fame coach Bob Knight dies at 83,11/1/23,1000,57,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
68.0,YouTube Shorts,CNN,Rabbi confronts President Biden,11/2/23,2900,716,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,0.0,Legacy,1,1,0.0,0.0
69.0,YouTube Shorts,CNN,Explosions erupt over Gaza,11/2/23,3000,571,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,,5.0,1.0,2.0,1.0,Legacy,1,1,24.5,0.0
70.0,YouTube Shorts,CNN,Tense exchanges shared during Eric Trump’s testimony - YouTube,11/2/23,18000,1800,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,1.0,Legacy,1,1,0.0,0.0
71.0,Instagram Reels,CNN,"Injured Palestinians have begun arriving in Egypt, officials say…",11/1/23,8236,1846,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,0.0,Legacy,1,1,0.0,0.0
72.0,Instagram Reels,CNN,After a mother noticed one of her son’s eyes appeared to be black...,11/1/23,233774,2775,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
73.0,Instagram Reels,CNN,An Israeli strike on Gaza’s densely populated Jabalya…,11/1/23,13501,5565,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
74.0,Instagram Reels,CNN,CNN’s Salma Abdelaziz reports on Tuesday’s airstrike…,11/1/23,41548,8698,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
75.0,Instagram Reels,CNN,A collision involving a truck with a trailer full of fireworks gave…,11/1/23,23289,261,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,0.0,Legacy,1,1,0.25,0.25
76.0,Instagram Reels,CNN,CNN’s Elle Reeve visits US college campuses and speaks…,11/2/23,18076,3573,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,5.0,4.0,4.0,1.0,2.0,0.0,Legacy,1,1,0.25,0.25
77.0,Instagram Reels,CNN,Miami-Dade Fire Rescue assisted the Broward County Sheriff’s office with report of a downed,11/2/23,9341,261,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,,3.0,3.0,3.0,1.0,Legacy,1,1,24.5,0.5
78.0,TikTok,CNN,Princess Leonor of Spain swore allegiance to the Spanish constitution…,11/1/23,29100,402,1676.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,1.0,Legacy,1,1,0.25,0.0
