Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,Animations,Filters,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Decorum_Z,Language_Z
76,Instagram Reels,CNN,CNN’s Elle Reeve visits US college campuses and speaks…,11/2/23,18076,3573,,0,1,1,1,1,1,1,1,1,1,0,1,1,5,2,5,2,2,1,2,0,Legacy,1,0.75,0.75
77,Instagram Reels,CNN,Miami-Dade Fire Rescue assisted the Broward County Sheriff’s office with report of a downed,11/2/23,9341,261,,1,1,1,1,1,1,1,1,1,0,0,1,1,3,1,3,-93,3,3,3,1,Legacy,1,24.5,0.5
78,TikTok,CNN,Princess Leonor of Spain swore allegiance to the Spanish constitution…,11/1/23,29100,402,1676.0,1,1,1,1,0,0,1,1,0,1,0,1,1,3,3,3,2,1,2,2,1,Legacy,1,0.75,1.0
79,TikTok,CNN,"CNN's Manu Raju asks Sen. Bob Menendez (D-NJ), who prosecutors…",11/1/23,3005,144,114.0,0,0,0,0,1,0,0,1,0,0,0,1,1,4,4,4,1,1,2,2,0,Legacy,0,1.0,1.0
80,TikTok,CNN,After the mother of a 5-month-old noticed one of his eyes appeared to be black…,11/1/23,15800,70,552.0,1,0,0,0,0,1,1,1,1,1,0,1,1,5,2,4,2,1,7,1,1,Legacy,0,0.75,1.0
81,TikTok,CNN,An Israeli strike on Gaza's densely populated Jabalya refugee camp left…,11/1/23,3310,1765,264.0,1,1,1,1,1,1,0,1,0,0,0,1,1,2,3,2,1,1,1,1,0,Legacy,1,1.0,1.0
82,TikTok,CNN,CNN's Salma Abdelaziz reports on Tuesday's airstrike…,11/1/23,10300,1993,962.0,0,1,1,1,1,1,1,1,0,1,0,2,1,3,3,3,2,1,1,2,1,Legacy,1,0.75,1.0
83,TikTok,CNN,"Donald Trump’s eldest son, Donald Trump Jr., testified that he was not involved …",11/1/23,3801,319,112.0,1,1,1,1,1,1,0,1,0,1,0,1,0,3,2,3,2,1,2,2,0,Legacy,1,0.75,1.0
84,TikTok,CNN,"Bobby Knight, who was one of college basketball’s winningest coaches",11/1/23,8075,82,571.0,1,1,1,1,1,1,1,1,0,1,0,1,0,4,4,4,-93,3,4,3,0,Legacy,1,24.5,0.5
85,YouTube Shorts,UnderTheDeskNews,Dysfunctional #uspolitics,11/15/23,51,0,,0,1,1,1,0,0,0,1,0,0,1,1,0,2,3,2,-93,4,2,5,0,SMonly,1,24.5,0.25
86,YouTube Shorts,UnderTheDeskNews,The Mary Magdalene of Politics?? #shorts #uspolitics #marymagdalene ,11/27/23,126,3,,1,1,0,1,0,0,0,1,0,0,1,1,1,3,3,3,5,5,2,5,0,SMonly,1,0.0,0.0
87,YouTube Shorts,UnderTheDeskNews,Weight Watchers Buys Telehealth company for easy access to semiglutides #weightloss,11/28/23,88,7,,1,0,0,0,0,0,0,1,0,0,0,1,1,4,2,3,4,2,6,4,0,SMonly,0,0.25,0.75
88,YouTube Shorts,UnderTheDeskNews,"See ya in hell, Henry 👋🏻 ",11/29/23,165,43,,0,1,0,1,0,0,0,0,0,0,1,1,1,2,3,2,5,-93,2,5,0,SMonly,1,0.0,24.5
89,YouTube Shorts,UnderTheDeskNews,Byeee #henrykissinger #uspolitics,11/29/23,202,37,,0,1,0,1,0,0,0,0,0,0,1,1,1,2,3,2,4,-93,2,5,0,SMonly,1,0.25,24.5
90,YouTube Shorts,UnderTheDeskNews,Bye Mary 👋🏻 #georgesantos #uspolitics,12/1/23,191,25,,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,4,5,3,2,4,0,SMonly,1,0.0,0.5
91,YouTube Shorts,UnderTheDeskNews,He sounds like Lola from @bigmouthnetflix no?? #georgesantos #bigmouth #uspolitics - YouTube,12/4/23,36,0,,0,1,0,1,0,0,0,1,1,0,1,1,0,2,4,1,5,5,2,5,0,SMonly,1,0.0,0.0
92,Instagram Reels,UnderTheDeskNews,#rochesterny local arrested for hate crime at #cornell #cornelluniversity #pittsfordny…,11/1/23,9455,266,,1,1,0,1,0,0,0,1,0,1,0,2,1,3,3,3,4,2,1,4,0,SMonly,1,0.25,0.75
93,Instagram Reels,UnderTheDeskNews,Check out the episode on your podcast app! #bringchanelhome,11/1/23,741,7,,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,2,5,5,3,5,0,SMonly,0,0.0,0.0
94,Instagram Reels,UnderTheDeskNews,Is Mitch as scary as he once was or could Hawley stand up to him?...,11/1/23,18851,388,,1,1,0,1,0,0,0,1,0,0,1,1,1,4,4,4,5,4,2,4,0,SMonly,1,0.0,0.25
95,Instagram Reels,UnderTheDeskNews,Mike Johnson ALSO thinks… a lot… a lot a lot….,11/2/23,5953,190,,1,1,0,1,0,0,0,1,0,1,1,1,1,3,3,3,4,5,2,5,0,SMonly,1,0.25,0.0
96,Instagram Reels,UnderTheDeskNews,Are we.. are we on the same page today Senator Graham?...,11/2/23,5080,174,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,1,1,2,1,1,SMonly,0,1.0,1.0
97,Instagram Reels,UnderTheDeskNews,#rewilding #goodnews #goodnewsonly #golf #nepal #museum…,11/2/23,8320,78,,1,1,0,1,1,0,0,1,0,1,0,1,1,4,2,4,4,3,4,4,0,SMonly,1,0.25,0.5
98,Instagram Reels,UnderTheDeskNews,"Stitch with @soso_swag - Pennsylvania! Vote on or before THIS November 7, 2023 your local elections are going to have a major impact on… | Instagram",11/5/23,5855,120,,1,0,0,0,0,0,0,1,0,0,1,1,0,4,5,4,5,5,2,5,0,SMonly,0,0.0,0.0
99,TikTok,UnderTheDeskNews,Pittsford NY Student arrested on federal hate crime charges #rochesterny…,11/1/23,32400,829,379.0,1,1,0,1,0,0,0,1,0,1,0,2,1,3,3,3,4,2,1,4,0,SMonly,1,0.25,0.75
100,TikTok,UnderTheDeskNews,#citizensunited #elections #darkmoney #conservative #democrat…,11/1/23,114200,2831,2644.0,1,1,0,1,0,0,0,1,0,0,1,1,1,4,4,4,5,4,2,4,0,SMonly,1,0.0,0.25
101,TikTok,UnderTheDeskNews,Mike Johnson ALSO thinks… a lot… a lot a lot.. maybe too much?...,11/2/23,19500,622,204.0,1,1,0,1,0,0,0,1,0,1,1,1,1,3,3,3,4,5,2,5,0,SMonly,1,0.25,0.0
102,TikTok,UnderTheDeskNews,Yesterday I hyped up Josh Hawley on his Ending Corporate Influence…,11/2/23,14900,580,237.0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,1,1,2,1,1,SMonly,0,1.0,1.0
103,TikTok,UnderTheDeskNews,#stitch with @D U S T I N P A I S L E Y #rewilding #goodnews #goodnewsonly…,11/2/23,39100,429,560.0,1,1,0,1,1,0,0,1,0,1,0,1,1,4,2,4,4,3,4,4,0,SMonly,1,0.25,0.5
104,TikTok,UnderTheDeskNews,He’s trying to run down the clock on testimony. This is interesting…,11/6/23,147700,2793,2625.0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,3,3,5,3,2,4,0,SMonly,0,0.0,0.5
105,TikTok,UnderTheDeskNews,Wild. Times. #trumptrial #newyork TikToks Legal Eagles: @Legal Dad @Maclen & Ashleigh,11/6/23,110000,2163,1651.0,0,0,0,0,0,0,0,1,0,0,1,1,1,4,3,4,5,3,2,4,0,SMonly,0,0.0,0.5
106,YouTube Shorts,GoodMorning BadNews,Missing Submarine Found! | GMBN - YouTube,6/22/23,238,7,,1,1,1,1,1,1,0,1,1,1,1,1,0,4,5,3,-93,3,3,5,0,SMonly,1,24.5,0.5
