,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
376,1680,1,2016,,https://www.cnn.com/2016/10/21/politics/clinton-tweet-trump-joke/index.html,cnn,soft news,horserace,conflict,negative,no,no,no,no,no,yes,no,no,yes,no,2,0,trump,embedded_cited,human interest,positive,no,no,horserace,trigger,amplifies the tweet,,,cnn2016
377,1680,1,2016,,https://www.cnn.com/2016/10/21/politics/clinton-tweet-trump-joke/index.html,cnn,soft news,horserace,conflict,negative,no,no,no,,no,no,no,no,no,no,,,biden,embedded,conflict,negative,no,no,attack,trigger,amplifies the tweet,,,cnn2016
378,1681,1,2016,,https://www.cnn.com/2016/10/25/politics/donald-trump-polls-rigged-oversampling-democrats/index.html,cnn,editorial,media,conflict,negative,no,yes,yes,no,yes,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,yes,yes,media,illustration,ctiticizes the tweet,,,cnn2016
379,1682,1,2016,,https://www.cnn.com/2016/10/25/politics/obama-mean-tweets-jimmy-kimmel/index.html,cnn,soft news,other,conflict,negative,no,no,no,no,no,yes,2,no,no,no,1,0,trump,cited,conflict,negative,yes,no,attack,trigger,neutral,,,cnn2016
380,1683,1,2016,,https://www.cnn.com/2016/10/26/politics/rudy-giuliani-obamacare-fraud-donald-trump/index.html,cnn,soft news,policy issue,conflict,negative,no,yes,yes,no,no,yes,yes,no,no,yes,1,0,trump,paraphrased_linked,conflict,negative,yes,no,policy issue,non-primary source,neutral,,,cnn2016
381,1684,1,2016,,https://www.cnn.com/2016/10/27/politics/donald-trump-texas-vote-flipping/index.html,cnn,soft news,campaign event or info,conflict,negative,no,yes,yes,no,yes,yes,no,yes,no,no,1,0,trump,embedded_cited,conflict,negative,yes,no,campaign event or info,illustration,ctiticizes the tweet,,,cnn2016
382,1685,1,2016,,https://www.cnn.com/2016/10/27/politics/plane-carrying-pence-skids-off-runway/index.html,cnn,hard news,other,human interest,3,no,no,no,no,yes,yes,no,no,no,no,2,3,pence,embedded_cited,human interest,positive,no,no,other,illustration,neutral,,,cnn2016
383,1685,1,2016,,https://www.cnn.com/2016/10/27/politics/plane-carrying-pence-skids-off-runway/index.html,cnn,hard news,other,human interest,3,no,no,no,no,no,no,no,no,no,no,,,biden,embedded_cited,human interest,positive,no,no,other,illustration,neutral,,,cnn2016
384,1686,1,2016,,https://www.cnn.com/2016/10/28/politics/donald-trump-mike-tyson-don-king/index.html,cnn,soft news,character traits,conflict,negative,no,no,no,yes,no,yes,no,no,no,no,1,0,trump,cited,human interest,positive,no,no,endorsement,illustration,neutral,,,cnn2016
385,1687,1,2016,,https://www.cnn.com/2016/10/28/politics/hillary-clinton-email-timeline/index.html,cnn,soft news,scandal,conflict,negative,no,no,yes,no,yes,yes,no,no,no,no,1,0,biden,cited_linked,responsibility,3,no,no,scandal,non-primary source,neutral,,,cnn2016
